id;mtotal;vms;clock;lastclocktime;stage
1736;12.6;9;38;29;3
1737;0.0;0;0;0;1
1738;18.03;9;39;32;2
1739;13.81;9;38;29;3
1740;0.0;0;0;0;1
1741;18.31;9;39;32;2
1742;12.35;9;38;23;3
1743;0.0;0;0;0;1
1744;19.14;9;39;32;2
1745;10.26;9;38;23;3
1746;0.0;0;0;0;1
1747;21.76;9;39;32;2
1748;7.3;9;38;23;3
1749;0.0;0;0;0;1
1750;25.91;9;39;32;2
1751;7.38;9;38;23;3
1752;0.0;0;0;0;1
1753;28.34;9;39;32;2
1754;3.11;9;38;23;3
1755;0.0;0;0;0;1
1756;23.85;9;39;32;2
1757;2.11;9;38;23;3
1758;0.0;0;0;0;1
1759;24.82;10;40;29;2
1760;0.33;9;39;23;3
1761;0.0;0;0;0;1
1762;15.99;10;40;29;2
1763;0.45;9;39;23;3
1764;0.0;0;0;0;1
1765;9.09;10;40;29;2
1766;0.42;9;39;23;3
1767;0.0;0;0;0;1
1768;7.01;10;40;29;2
1769;0.78;9;39;23;3
1770;0.0;0;0;0;1
1771;2.84;10;40;29;2
1772;1.68;9;39;23;3
1773;0.0;0;0;0;1
1774;1.5;10;40;29;2
1775;3.2;9;39;23;3
1776;0.0;0;0;0;1
1777;2.6;10;40;29;2
1778;6.39;9;39;23;3
1779;0.0;0;0;0;1
1780;4.96;10;40;29;2
1781;12.98;9;39;23;3
1782;0.0;0;0;0;1
1783;9.63;10;40;29;2
1784;21.33;9;39;23;3
1785;0.0;0;0;0;1
1786;9.61;10;40;29;2
1787;25.58;9;39;23;3
1788;0.0;0;0;0;1
1789;9.24;10;40;29;2
1790;22.2;9;39;23;3
1791;0.0;0;0;0;1
1792;8.63;10;40;29;2
1793;19.07;9;39;23;3
1794;0.0;0;0;0;1
1795;11.05;10;40;29;2
1796;24.7;9;39;23;3
1797;0.0;0;0;0;1
1798;11.82;10;40;29;2
1799;22.87;9;39;23;3
1800;0.0;0;0;0;1
1801;10.53;10;40;29;2
1802;22.17;9;39;23;3
1803;0.0;0;0;0;1
1804;11.07;10;40;29;2
1805;20.87;9;39;23;3
1806;0.0;0;0;0;1
1807;15.57;10;40;29;2
1808;17.14;9;39;18;3
1809;0.0;0;0;0;1
1810;14.96;10;40;29;2
1811;13.17;9;39;18;3
1812;0.0;0;0;0;1
1813;17.89;10;40;29;2
1814;12.12;9;39;18;3
1815;0.0;0;0;0;1
1816;15.95;10;40;29;2
1817;8.35;9;39;18;3
1818;0.0;0;0;0;1
1819;20.85;10;40;29;2
1820;3.6;9;39;18;3
1821;0.0;0;0;0;1
1822;21.84;10;40;29;2
1823;2.43;9;39;18;3
1824;0.0;0;0;0;1
1825;22.34;10;40;29;2
1826;0.31;9;39;18;3
1827;0.0;0;0;0;1
1828;0.0;10;0;0;2
1829;0.39;9;40;18;3
1830;0.0;0;0;0;1
1831;0.0;10;0;0;2
1832;0.45;9;40;18;3
1833;0.0;0;0;0;1
1834;0.0;10;0;0;2
1835;0.58;9;40;18;3
1836;0.0;0;0;0;1
1837;0.0;10;0;0;2
1838;0.81;9;40;18;3
1839;0.0;0;0;0;1
1840;0.0;10;0;0;2
1841;1.56;9;40;18;3
1842;0.0;0;0;0;1
1843;0.0;10;0;0;2
1844;3.41;9;40;18;3
1845;0.0;0;0;0;1
1846;0.0;10;0;0;2
1847;7.0;9;40;18;3
1848;0.0;0;0;0;1
1849;0.0;10;0;0;2
1850;14.27;9;40;18;3
1851;0.0;0;0;0;1
1852;0.0;10;0;0;2
1853;21.72;9;40;18;3
1854;0.0;0;0;0;1
1855;0.0;10;0;0;2
1856;22.92;9;40;18;3
1857;0.0;0;0;0;1
1858;0.0;10;0;0;2
1859;22.07;9;40;18;3
1860;0.0;0;0;0;1
1861;0.0;10;0;0;2
1862;25.12;9;40;18;3
1863;0.0;0;0;0;1
1864;0.0;9;0;0;2
1865;24.23;9;40;18;3
1866;0.0;0;0;0;1
1867;0.0;9;0;0;2
1868;24.58;9;40;18;3
1869;0.0;0;0;0;1
1870;0.0;9;0;0;2
1871;16.84;9;40;18;3
1872;0.0;0;0;0;1
1873;0.0;8;0;0;2
1874;10.53;9;40;18;3
1875;0.0;0;0;0;1
1876;0.0;1;0;0;2
1877;6.9;9;40;18;3
1878;0.0;0;0;0;1
1879;0.0;1;0;0;2
1880;8.11;9;40;18;3
1881;0.0;0;0;0;1
1882;0.0;0;0;0;2
1883;16.29;9;40;18;3
1884;0.0;0;0;0;1
1885;0.0;0;0;0;2
1886;18.73;9;40;18;3
1887;0.0;0;0;0;1
1888;0.0;0;0;0;2
1889;15.02;9;40;18;3
1890;0.0;0;0;0;1
1891;0.0;0;0;0;2
1892;0.0;9;0;0;3
1893;0.0;0;0;0;1
1894;0.0;0;0;0;2
1895;0.0;9;0;0;3
1896;0.0;0;0;0;1
1897;0.0;0;0;0;2
1898;0.0;9;0;0;3
1899;0.0;0;0;0;1
1900;0.0;0;0;0;2
1901;0.0;9;0;0;3
1902;0.0;0;0;0;1
1903;0.0;0;0;0;2
1904;0.0;8;0;0;3
1905;0.0;0;0;0;1
1906;0.0;0;0;0;2
1907;0.0;8;0;0;3
1908;0.0;0;0;0;1
1909;0.0;0;0;0;2
1910;0.0;8;0;0;3
1911;0.0;0;0;0;1
1912;0.0;0;0;0;2
1913;0.0;8;0;0;3
1914;0.0;0;0;0;1
1915;0.0;0;0;0;2
1916;0.0;8;0;0;3
1917;0.0;0;0;0;1
1918;0.0;0;0;0;2
1919;0.0;6;0;0;3
1920;0.0;0;0;0;1
1921;0.0;0;0;0;2
1922;0.0;3;0;0;3
1923;0.0;0;0;0;1
1924;0.0;0;0;0;2
1925;0.0;3;0;0;3
1926;0.0;0;0;0;1
1927;0.0;0;0;0;2
1928;0.0;3;0;0;3
1929;0.0;0;0;0;1
1930;0.0;0;0;0;2
1931;0.0;2;0;0;3
1932;0.0;0;0;0;1
1933;0.0;0;0;0;2
1934;0.0;2;0;0;3
1935;0.0;0;0;0;1
1936;0.0;0;0;0;2
1937;0.0;1;0;0;3
1938;0.0;0;0;0;1
1939;0.0;0;0;0;2
1940;0.0;0;0;0;3
1941;0.0;0;0;0;1
1942;0.0;0;0;0;2
1943;0.0;0;0;0;3
1944;0.0;0;0;0;1
1945;0.0;0;0;0;2
1946;0.0;0;0;0;3
