id;mtotal;vms;clock;lastclocktime;stage
1;0.0;1;0;0;2
2;0.0;1;0;0;3
3;0.0;1;2;1;1
4;0.0;1;0;0;2
5;0.0;1;0;0;3
6;0.0;1;2;0;1
7;0.0;1;1;0;2
8;0.0;1;0;0;3
9;0.0;1;3;0;1
10;0.0;1;1;0;2
11;0.0;1;0;0;3
12;0.0;1;3;0;1
13;0.0;1;2;1;2
14;0.0;1;0;0;3
15;0.0;1;3;0;1
16;0.0;1;2;1;2
17;0.0;1;1;0;3
18;50.66;1;4;2;1
19;0.0;1;2;1;2
20;0.0;1;1;0;3
21;60.81;1;4;2;1
22;0.0;1;3;1;2
23;0.0;1;2;1;3
24;63.19;1;4;2;1
25;70.53;1;3;1;2
26;0.0;1;2;1;3
27;67.89;1;5;3;1
28;42.63;1;3;1;2
29;0.0;1;2;1;3
30;82.11;1;5;3;1
31;50.81;1;3;1;2
32;0.0;1;2;1;3
33;65.78;1;5;3;1
34;26.42;1;4;3;2
35;50.88;1;3;1;3
36;59.13;1;5;3;1
37;52.95;1;4;3;2
38;25.31;1;3;1;3
39;87.81;1;5;3;1
40;65.47;1;4;3;2
41;26.19;1;3;1;3
42;77.19;1;5;3;1
43;90.5;1;4;3;2
44;12.91;1;3;2;3
45;58.94;1;5;3;1
46;81.39;1;4;3;2
47;25.81;1;4;2;3
48;96.88;1;5;3;1
49;62.8;1;4;3;2
50;52.17;1;4;2;3
51;94.14;1;5;3;1
52;74.59;1;4;3;2
53;89.91;1;4;2;3
54;88.28;1;6;7;1
55;78.2;1;5;3;2
56;79.81;1;4;2;3
57;77.89;1;6;7;1
58;57.42;1;5;3;2
59;59.64;1;4;2;3
60;57.34;1;6;7;1
61;16.41;1;5;3;2
62;21.3;1;4;2;3
63;16.25;1;6;7;1
64;9.38;1;5;3;2
65;42.61;1;4;2;3
66;34.06;1;6;7;1
67;19.31;1;5;3;2
68;50.22;1;4;2;3
69;44.69;1;6;7;1
70;40.19;1;5;3;2
71;0.45;1;4;2;3
72;89.67;1;7;6;1
73;80.94;1;5;3;2
74;0.91;1;4;2;3
75;95.25;1;7;6;1
76;97.53;1;6;7;2
77;0.81;1;4;2;3
78;92.06;1;7;6;1
79;95.66;1;6;7;2
80;0.63;1;5;2;3
81;85.69;1;7;6;1
82;92.88;1;6;7;2
83;1.72;1;5;2;3
84;72.94;1;7;6;1
85;87.31;1;6;7;2
86;5.0;1;5;2;3
87;47.44;1;7;6;1
88;76.19;1;6;7;2
89;10.56;1;5;2;3
90;77.44;1;7;6;1
91;53.94;1;6;7;2
92;22.69;1;5;2;3
93;98.44;1;7;6;1
94;67.44;1;6;7;2
95;46.09;1;5;5;3
96;98.44;1;7;6;1
97;98.13;1;6;7;2
98;92.2;1;5;5;3
99;98.44;1;7;6;1
100;96.25;1;6;7;2
101;90.41;1;5;5;3
102;97.16;1;8;9;1
103;92.5;1;7;7;2
104;80.95;1;6;5;3
