id;mtotal;vms;clock;lastclocktime;stage
1;0.0;1;0;0;2
2;0.0;1;0;0;3
3;0.0;1;1;0;1
4;0.0;1;0;0;2
5;0.0;1;0;0;3
6;0.0;1;2;1;1
7;0.0;1;1;0;2
8;0.0;1;0;0;3
9;0.0;1;3;1;1
10;0.0;1;1;0;2
11;0.0;1;0;0;3
12;0.0;1;3;1;1
13;0.0;1;2;1;2
14;0.0;1;0;0;3
15;0.0;1;3;1;1
16;0.0;1;2;1;2
17;0.0;1;1;0;3
18;71.38;1;3;1;1
19;0.0;1;2;1;2
20;0.0;1;1;0;3
21;43.45;1;4;2;1
22;0.0;1;3;1;2
23;0.0;1;1;0;3
24;50.23;1;4;2;1
25;48.09;1;3;1;2
26;0.0;1;2;1;3
27;65.03;1;4;2;1
28;65.75;1;3;1;2
29;0.0;1;2;0;3
30;77.56;1;5;2;1
31;42.61;1;4;3;2
32;0.0;1;2;0;3
33;73.5;1;5;2;1
34;38.88;1;4;3;2
35;48.09;1;3;0;3
36;48.56;1;5;2;1
37;44.31;1;4;3;2
38;36.75;1;3;0;3
39;53.69;1;5;2;1
40;89.19;1;4;3;2
41;25.06;1;3;0;3
42;87.94;1;5;2;1
43;83.14;1;4;3;2
44;25.33;1;3;2;3
45;77.44;1;5;2;1
46;66.28;1;4;3;2
47;22.06;1;4;2;3
48;60.19;1;6;6;1
49;61.56;1;5;3;2
50;44.69;1;4;2;3
51;96.39;1;6;6;1
52;81.31;1;5;3;2
53;85.52;1;4;2;3
54;93.84;1;6;6;1
55;64.19;1;5;3;2
56;71.03;1;4;2;3
57;89.25;1;6;6;1
58;29.94;1;5;3;2
59;42.09;1;4;2;3
60;80.06;1;6;6;1
61;12.44;1;5;3;2
62;71.19;1;4;2;3
63;61.69;1;6;6;1
64;26.44;1;5;3;2
65;52.38;1;4;2;3
66;40.94;1;6;6;1
67;54.44;1;5;3;2
68;4.75;1;4;2;3
69;81.08;1;7;6;1
70;98.44;1;5;3;2
71;0.5;1;4;2;3
72;95.34;1;7;6;1
73;97.13;1;6;7;2
74;1.02;1;5;2;3
75;92.25;1;7;6;1
76;95.34;1;6;7;2
77;0.16;1;5;2;3
78;86.06;1;7;6;1
79;92.25;1;6;7;2
80;1.88;1;5;2;3
81;73.69;1;7;6;1
82;86.06;1;6;7;2
83;5.31;1;5;2;3
84;48.94;1;7;6;1
85;73.69;1;6;7;2
86;12.19;1;5;2;3
87;86.44;1;7;6;1
88;48.94;1;6;7;2
89;25.94;1;5;2;3
90;98.44;1;7;6;1
91;83.44;1;6;7;2
92;51.58;1;5;5;3
93;98.44;1;7;6;1
94;98.44;1;6;7;2
95;95.16;1;5;5;3
96;98.44;1;7;6;1
97;97.59;1;6;7;2
98;90.33;1;6;5;3
99;97.11;1;8;9;1
100;95.2;1;7;7;2
101;81.75;1;6;5;3
102;94.84;1;8;9;1
103;91.02;1;7;7;2
104;65.06;1;6;5;3
