id;mtotal;vms;clock;lastclocktime;stage
1;0.0;1;0;0;2
2;0.0;1;0;0;3
3;0.0;1;1;0;1
4;0.0;1;0;0;2
5;0.0;1;0;0;3
6;0.0;1;2;1;1
7;0.0;1;0;0;2
8;0.0;1;0;0;3
9;0.0;1;3;1;1
10;0.0;1;1;0;2
11;0.0;1;0;0;3
12;0.0;1;3;1;1
13;0.0;1;1;0;2
14;0.0;1;0;0;3
15;0.0;1;3;1;1
16;0.0;1;2;1;2
17;0.0;1;1;0;3
18;77.09;1;3;2;1
19;0.0;1;3;1;2
20;0.0;1;1;0;3
21;54.58;1;4;2;1
22;0.0;1;3;1;2
23;0.0;1;2;1;3
24;69.55;1;4;2;1
25;0.0;1;3;1;2
26;0.0;1;2;1;3
27;70.66;1;4;2;1
28;63.13;1;3;1;2
29;0.0;1;2;0;3
30;73.83;1;5;3;1
31;61.77;1;3;1;2
32;0.0;1;2;0;3
33;47.67;1;5;3;1
34;57.53;1;4;4;2
35;40.88;1;3;0;3
36;38.91;1;5;3;1
37;45.34;1;4;4;2
38;53.0;1;3;0;3
39;54.38;1;5;3;1
40;84.25;1;4;4;2
41;31.56;1;3;0;3
42;85.31;1;5;3;1
43;84.06;1;4;4;2
44;21.75;1;3;3;3
45;72.19;1;5;3;1
46;69.69;1;4;3;2
47;18.13;1;4;3;3
48;48.3;1;5;5;1
49;42.56;1;4;3;2
50;36.25;1;4;3;3
51;96.33;1;6;5;1
52;85.13;1;5;3;2
53;74.0;1;4;3;3
54;93.39;1;6;5;1
55;88.47;1;5;3;2
56;69.56;1;4;3;3
57;87.52;1;6;5;1
58;78.5;1;5;3;2
59;39.56;1;4;2;3
60;75.77;1;6;5;1
61;58.56;1;5;3;2
62;39.13;1;4;2;3
63;53.09;1;6;5;1
64;18.69;1;5;3;2
65;38.25;1;4;2;3
66;48.75;1;6;5;1
67;26.94;1;5;3;2
68;76.5;1;4;2;3
69;50.67;1;7;5;1
70;55.44;1;5;3;2
71;57.02;1;4;2;3
72;55.63;1;7;5;1
73;98.41;1;5;3;2
74;14.03;1;4;2;3
75;65.81;1;7;5;1
76;96.83;1;6;7;2
77;0.06;1;5;2;3
78;86.19;1;7;5;1
79;95.06;1;6;7;2
80;1.64;1;5;2;3
81;73.94;1;7;5;1
82;91.69;1;6;7;2
83;4.8;1;5;2;3
84;49.44;1;7;5;1
85;84.94;1;6;7;2
86;11.16;1;5;2;3
87;89.44;1;7;5;1
88;71.44;1;6;7;2
89;22.88;1;5;2;3
90;98.44;1;7;5;1
91;46.44;1;6;7;2
92;47.31;1;5;2;3
93;98.44;1;7;5;1
94;93.44;1;6;7;2
95;95.52;1;5;5;3
96;98.44;1;7;9;1
97;98.44;1;6;7;2
98;94.05;1;5;5;3
99;97.11;1;8;9;1
100;97.67;1;7;7;2
101;91.09;1;6;5;3
102;95.25;1;8;9;1
103;95.34;1;7;7;2
104;82.47;1;6;5;3
