id;mtotal;vms;clock;lastclocktime;stage
1;0.0;1;0;0;2
2;0.0;1;0;0;3
3;0.0;1;2;1;1
4;0.0;1;1;0;2
5;0.0;1;0;0;3
6;0.0;1;2;1;1
7;0.0;1;1;0;2
8;0.0;1;0;0;3
9;0.0;1;3;1;1
10;0.0;1;1;0;2
11;0.0;1;0;0;3
12;0.0;1;3;1;1
13;0.0;1;2;2;2
14;0.0;1;0;0;3
15;0.0;1;3;1;1
16;0.0;1;2;2;2
17;0.0;1;1;0;3
18;67.13;1;3;2;1
19;0.0;1;2;1;2
20;0.0;1;1;0;3
21;59.61;1;4;2;1
22;44.22;1;3;1;2
23;0.0;1;2;1;3
24;68.78;1;4;2;1
25;76.72;1;3;1;2
26;0.0;1;2;0;3
27;70.13;1;4;2;1
28;55.0;1;3;1;2
29;0.0;1;2;0;3
30;80.52;1;5;2;1
31;55.56;1;3;1;2
32;0.0;1;2;0;3
33;62.59;1;5;2;1
34;47.28;1;4;3;2
35;61.13;1;3;0;3
36;54.75;1;5;2;1
37;30.2;1;4;3;2
38;36.25;1;3;0;3
39;88.06;1;5;2;1
40;53.97;1;4;3;2
41;36.06;1;3;0;3
42;77.69;1;5;2;1
43;91.5;1;4;3;2
44;5.69;1;3;2;3
45;56.94;1;5;2;1
46;83.7;1;4;3;2
47;11.06;1;3;2;3
48;97.66;1;6;5;1
49;67.42;1;5;3;2
50;20.13;1;4;2;3
51;95.94;1;6;5;1
52;62.03;1;5;3;2
53;41.55;1;4;2;3
54;93.44;1;6;5;1
55;84.25;1;5;3;2
56;84.66;1;4;2;3
57;88.44;1;6;5;1
58;70.06;1;5;3;2
59;70.88;1;4;2;3
60;78.44;1;6;5;1
61;41.69;1;5;3;2
62;43.31;1;4;2;3
63;58.44;1;6;5;1
64;39.94;1;5;3;2
65;42.63;1;4;2;3
66;67.72;1;6;5;1
67;80.44;1;5;3;2
68;86.81;1;4;2;3
69;96.28;1;6;5;1
70;86.44;1;5;3;2
71;92.19;1;4;2;3
72;92.58;1;6;5;1
73;97.34;1;5;7;2
74;84.59;1;4;2;3
75;85.2;1;7;8;1
76;95.77;1;6;7;2
77;69.22;1;5;8;3
78;71.97;1;7;8;1
79;93.09;1;6;7;2
80;40.0;1;5;8;3
81;45.5;1;7;8;1
82;87.75;1;6;7;2
83;81.56;1;5;8;3
84;38.56;1;7;8;1
85;77.06;1;6;7;2
86;64.69;1;5;8;3
87;24.69;1;7;8;1
88;55.69;1;6;7;2
89;30.94;1;5;8;3
90;49.94;1;7;8;1
91;82.94;1;6;7;2
92;48.53;1;5;6;3
93;98.44;1;7;8;1
94;98.44;1;6;7;2
95;95.06;1;5;6;3
96;98.44;1;7;8;1
97;97.44;1;6;7;2
98;90.13;1;6;6;3
99;98.44;1;7;8;1
100;94.89;1;6;7;2
101;81.44;1;6;6;3
102;98.06;1;8;9;1
103;89.78;1;6;7;2
104;64.06;1;6;6;3
