id;mtotal;vms;clock;lastclocktime;stage
1;0.0;1;0;0;2
2;0.0;1;0;0;3
3;0.0;1;1;0;1
4;0.0;1;0;0;2
5;0.0;1;0;0;3
6;0.0;1;2;1;1
7;0.0;1;1;0;2
8;0.0;1;0;0;3
9;0.0;1;3;1;1
10;0.0;1;1;0;2
11;0.0;1;0;0;3
12;0.0;1;3;1;1
13;0.0;1;1;0;2
14;0.0;1;0;0;3
15;0.0;1;3;1;1
16;0.0;1;2;2;2
17;0.0;1;1;0;3
18;78.06;1;3;1;1
19;0.0;1;2;2;2
20;0.0;1;1;0;3
21;56.48;1;4;3;1
22;0.0;1;3;1;2
23;0.0;1;1;0;3
24;68.53;1;4;3;1
25;43.31;1;3;1;2
26;0.0;1;2;1;3
27;76.63;1;4;3;1
28;79.19;1;3;1;2
29;0.0;1;2;0;3
30;88.81;1;5;3;1
31;59.94;1;3;1;2
32;0.0;1;2;0;3
33;79.19;1;5;3;1
34;56.06;1;4;3;2
35;39.8;1;3;0;3
36;59.94;1;5;3;1
37;55.55;1;4;3;2
38;59.16;1;3;0;3
39;98.44;1;5;3;1
40;90.66;1;4;3;2
41;30.88;1;3;0;3
42;98.44;1;5;3;1
43;86.88;1;4;3;2
44;30.95;1;3;2;3
45;97.59;1;6;5;1
46;73.89;1;4;3;2
47;19.92;1;4;2;3
48;95.91;1;6;5;1
49;47.92;1;5;3;2
50;38.86;1;4;2;3
51;92.72;1;6;5;1
52;84.14;1;5;3;2
53;77.75;1;4;2;3
54;87.0;1;6;5;1
55;78.84;1;5;3;2
56;57.06;1;4;2;3
57;75.56;1;6;5;1
58;59.25;1;5;3;2
59;14.73;1;4;2;3
60;52.69;1;6;5;1
61;20.06;1;5;3;2
62;16.48;1;4;2;3
63;60.94;1;6;5;1
64;32.69;1;5;3;2
65;31.97;1;4;2;3
66;77.44;1;7;5;1
67;57.94;1;5;3;2
68;62.94;1;4;2;3
69;98.44;1;7;5;1
70;98.44;1;5;3;2
71;59.88;1;4;2;3
72;98.44;1;7;5;1
73;96.92;1;6;7;2
74;19.75;1;5;2;3
75;98.44;1;7;5;1
76;93.89;1;6;7;2
77;1.63;1;5;2;3
78;98.44;1;7;5;1
79;89.09;1;6;7;2
80;3.81;1;5;2;3
81;98.44;1;7;5;1
82;79.75;1;6;7;2
83;9.19;1;5;2;3
84;98.44;1;7;5;1
85;61.06;1;6;7;2
86;19.94;1;5;2;3
87;98.44;1;7;5;1
88;23.69;1;6;7;2
89;41.44;1;5;2;3
90;98.44;1;7;5;1
91;45.94;1;6;7;2
92;83.94;1;5;5;3
93;98.44;1;7;5;1
94;90.44;1;6;7;2
95;95.88;1;5;5;3
96;96.88;1;8;9;1
97;97.63;1;6;7;2
98;91.77;1;5;5;3
99;94.67;1;8;9;1
100;95.56;1;7;8;2
101;83.55;1;6;5;3
102;90.91;1;8;9;1
103;92.69;1;7;8;2
104;67.75;1;6;5;3
