id;mtotal;vms;clock;lastclocktime;stage
1;0.0;1;0;0;2
2;0.0;1;0;0;3
3;0.0;1;2;1;1
4;0.0;1;0;0;2
5;0.0;1;0;0;3
6;0.0;1;2;1;1
7;0.0;1;1;0;2
8;0.0;1;0;0;3
9;0.0;1;3;0;1
10;0.0;1;1;0;2
11;0.0;1;0;0;3
12;0.0;1;3;0;1
13;0.0;1;2;1;2
14;0.0;1;0;0;3
15;0.0;1;3;0;1
16;0.0;1;2;1;2
17;0.0;1;1;0;3
18;64.5;1;4;2;1
19;0.0;1;2;1;2
20;0.0;1;1;0;3
21;69.59;1;4;2;1
22;0.0;1;3;1;2
23;0.0;1;2;1;3
24;68.75;1;4;2;1
25;72.63;1;3;1;2
26;0.0;1;2;0;3
27;66.91;1;4;3;1
28;46.81;1;3;1;2
29;0.0;1;2;0;3
30;83.08;1;5;3;1
31;51.19;1;3;1;2
32;0.0;1;2;0;3
33;67.72;1;5;3;1
34;22.47;1;4;3;2
35;54.59;1;3;0;3
36;61.0;1;5;3;1
37;45.89;1;4;3;2
38;28.64;1;3;0;3
39;85.56;1;5;3;1
40;61.34;1;4;3;2
41;16.84;1;3;0;3
42;72.69;1;5;3;1
43;92.25;1;4;3;2
44;6.92;1;3;2;3
45;56.94;1;5;3;1
46;85.05;1;4;3;2
47;12.84;1;4;2;3
48;97.94;1;6;6;1
49;70.11;1;5;3;2
50;25.36;1;4;2;3
51;95.89;1;6;6;1
52;71.22;1;5;3;2
53;52.28;1;4;2;3
54;93.25;1;6;6;1
55;83.0;1;5;3;2
56;76.55;1;4;2;3
57;88.06;1;6;6;1
58;67.56;1;5;3;2
59;53.09;1;4;2;3
60;77.69;1;6;6;1
61;36.69;1;5;3;2
62;27.2;1;4;2;3
63;56.94;1;6;6;1
64;39.94;1;5;3;2
65;54.41;1;4;2;3
66;47.25;1;6;6;1
67;80.44;1;5;3;2
68;65.81;1;4;2;3
69;93.67;1;7;6;1
70;98.44;1;5;3;2
71;31.63;1;4;2;3
72;94.91;1;7;6;1
73;97.66;1;6;7;2
74;0.25;1;4;2;3
75;91.38;1;7;6;1
76;96.11;1;6;7;2
77;0.5;1;5;2;3
78;84.31;1;7;6;1
79;93.78;1;6;7;2
80;1.56;1;5;2;3
81;70.19;1;7;6;1
82;89.13;1;6;7;2
83;4.69;1;5;2;3
84;53.94;1;7;6;1
85;79.81;1;6;7;2
86;10.94;1;5;2;3
87;98.44;1;7;6;1
88;61.19;1;6;7;2
89;23.44;1;5;2;3
90;98.44;1;7;6;1
91;73.94;1;6;7;2
92;47.55;1;5;5;3
93;98.44;1;7;6;1
94;98.02;1;6;7;2
95;95.11;1;5;5;3
96;97.98;1;8;9;1
97;96.03;1;6;7;2
98;90.23;1;6;5;3
99;95.97;1;8;9;1
100;92.06;1;7;7;2
101;80.53;1;6;5;3
102;92.63;1;8;9;1
103;84.13;1;7;7;2
104;61.13;1;6;5;3
