id;mtotal;vms;clock;lastclocktime;stage
1;0.0;1;0;0;2
2;0.0;1;0;0;3
3;0.0;1;1;0;1
4;0.0;1;0;0;2
5;0.0;1;0;0;3
6;0.0;1;1;0;1
7;0.0;1;0;0;2
8;0.0;1;0;0;3
9;0.0;1;1;0;1
10;0.0;1;0;0;2
11;0.0;1;0;0;3
12;0.0;1;1;0;1
13;0.0;1;0;0;2
14;0.0;1;0;0;3
15;0.0;1;1;0;1
16;0.0;1;0;0;2
17;0.0;1;0;0;3
18;95.89;1;2;6;1
19;0.0;1;1;0;2
20;0.0;1;0;0;3
21;95.67;1;2;6;1
22;0.0;1;1;0;2
23;0.0;1;0;0;3
24;92.91;1;2;6;1
25;0.0;1;1;0;2
26;0.0;1;0;0;3
27;87.38;1;2;6;1
28;0.0;1;1;0;2
29;0.0;1;0;0;3
30;76.31;1;2;6;1
31;0.0;1;1;0;2
32;0.0;1;0;0;3
33;54.19;1;2;6;1
34;0.0;1;1;0;2
35;0.0;1;0;0;3
36;76.94;1;3;5;1
37;46.94;1;1;0;2
38;0.0;1;0;0;3
39;97.22;1;3;5;1
40;90.44;1;1;0;2
41;0.0;1;0;0;3
42;95.27;1;3;5;1
43;96.89;1;2;7;2
44;0.0;1;0;0;3
45;92.09;1;3;5;1
46;95.22;1;2;7;2
47;0.0;1;1;0;3
48;85.75;1;3;5;1
49;92.0;1;2;7;2
50;0.0;1;1;0;3
51;73.06;1;3;5;1
52;85.56;1;2;7;2
53;0.0;1;1;0;3
54;47.69;1;3;5;1
55;72.69;1;2;7;2
56;0.0;1;1;0;3
57;74.94;1;3;5;1
58;46.94;1;2;7;2
59;0.0;1;1;0;3
60;98.44;1;3;5;1
61;94.44;1;2;7;2
62;0.0;1;1;0;3
63;98.44;1;3;5;1
64;97.89;1;2;6;2
65;64.44;1;1;0;3
66;98.44;1;3;5;1
67;95.78;1;2;6;2
68;98.44;1;1;0;3
69;98.44;1;3;5;1
70;91.56;1;2;6;2
71;97.22;1;2;7;3
72;98.44;1;3;5;1
73;83.13;1;2;6;2
74;95.53;1;2;7;3
75;98.44;1;3;5;1
76;66.25;1;2;6;2
77;92.63;1;2;7;3
78;98.44;1;3;5;1
79;32.52;1;2;6;2
80;86.81;1;2;7;3
81;98.44;1;3;5;1
82;0.03;1;2;6;2
83;75.19;1;2;7;3
84;98.44;1;3;5;1
85;0.06;1;2;6;2
86;51.94;1;2;7;3
87;98.44;1;3;5;1
88;0.13;1;2;6;2
89;82.84;1;2;5;3
90;98.44;1;3;5;1
91;0.25;1;2;6;2
92;95.69;1;2;5;3
93;98.44;1;3;5;1
94;0.5;1;2;6;2
95;91.38;1;2;5;3
96;98.44;1;3;5;1
97;0.02;1;2;6;2
98;82.75;1;2;5;3
99;98.44;1;3;5;1
100;0.03;1;2;6;2
101;65.5;1;2;5;3
102;98.44;1;3;5;1
103;0.06;1;2;6;2
104;31.02;1;2;5;3
