id;mtotal;vms;clock;lastclocktime;stage
199;81.23;2;10;6;2
200;85.8;2;9;8;3
201;61.48;2;11;6;1
202;63.88;2;10;6;2
203;72.95;2;9;8;3
204;35.03;2;11;6;1
205;29.17;2;10;6;2
206;47.47;2;9;8;3
207;21.63;2;11;6;1
208;10.41;2;10;6;2
209;14.46;2;9;8;3
210;39.81;2;11;6;1
211;22.38;2;10;6;2
212;29.7;2;9;8;3
213;76.47;2;11;6;1
214;46.2;2;10;6;2
215;59.6;2;9;8;3
216;96.28;2;11;6;1
217;91.32;2;10;6;2
218;84.41;2;9;6;3
219;92.75;2;12;8;1
220;91.65;2;10;7;2
221;81.98;2;10;6;3
222;85.5;2;12;8;1
223;92.3;2;11;7;2
224;64.16;2;10;6;3
225;71.02;2;12;8;1
226;84.64;2;11;7;2
227;32.38;2;10;6;3
228;43.05;2;12;8;1
229;70.49;2;11;7;2
230;16.31;2;10;6;3
231;33.67;2;12;8;1
232;50.05;2;11;7;2
233;21.69;2;10;6;3
234;14.91;2;12;8;1
235;10.16;2;11;7;2
236;30.47;2;10;4;3
237;19.38;2;12;8;1
238;21.38;2;11;7;2
239;49.94;2;10;4;3
240;40.31;2;12;8;1
241;43.81;2;11;7;2
242;87.88;2;10;4;3
243;80.57;2;12;8;1
244;87.19;2;11;7;2
245;75.77;2;10;4;3
246;96.28;2;13;8;1
247;98.18;2;11;7;2
248;51.56;2;10;4;3
249;92.57;2;13;8;1
250;97.08;2;11;7;2
251;3.13;2;10;4;3
252;85.7;2;13;8;1
253;94.16;2;12;9;2
254;0.27;2;11;4;3
255;72.95;2;13;8;1
256;88.34;2;12;9;2
257;0.93;2;11;4;3
258;47.47;2;13;8;1
259;77.59;2;12;9;2
260;2.75;2;11;4;3
261;36.0;2;13;8;1
262;56.75;2;12;9;2
263;5.56;2;11;4;3
264;32.56;2;13;8;1
265;31.56;2;12;9;2
266;11.69;2;11;4;3
267;66.19;2;13;8;1
268;18.69;2;12;9;2
269;24.44;2;11;4;3
270;98.22;2;13;8;1
271;38.94;2;12;9;2
272;49.91;2;11;4;3
273;96.55;2;13;8;1
274;77.94;2;12;9;2
275;76.1;2;11;4;3
276;93.23;2;14;9;1
277;98.07;2;12;9;2
278;95.98;2;11;4;3
279;86.72;2;14;9;1
280;96.8;2;12;9;2
281;92.76;2;11;4;3
282;74.22;2;14;9;1
283;93.63;2;13;9;2
284;85.88;2;11;4;3
285;49.88;2;14;9;1
286;87.69;2;13;9;2
287;71.77;2;12;10;3
288;15.33;2;14;9;1
289;76.49;2;13;9;2
290;45.86;2;12;10;3
291;24.72;2;14;9;1
292;54.55;2;13;9;2
293;42.45;2;12;10;3
294;43.5;2;14;9;1
295;34.16;2;13;9;2
296;36.45;2;12;10;3
297;71.56;2;14;9;1
298;27.38;2;13;9;2
299;23.97;2;12;10;3
300;94.69;2;14;9;1
301;55.31;2;13;9;2
302;26.5;2;12;10;3
303;97.53;2;14;9;1
304;84.19;2;13;9;2
305;53.5;2;12;10;3
306;95.06;2;14;9;1
307;98.44;2;13;9;2
308;86.16;2;12;6;3
309;90.13;2;15;9;1
310;98.44;2;13;9;2
311;93.82;2;12;6;3
312;81.01;2;15;9;1
313;98.44;2;13;9;2
314;87.65;2;12;6;3
315;63.3;2;15;9;1
316;97.54;2;14;11;2
317;75.3;2;12;6;3
318;28.17;2;15;9;1
319;95.08;3;14;11;2
320;50.59;2;13;6;3
321;15.91;2;15;9;1
322;90.2;3;14;11;2
323;5.97;2;13;6;3
324;33.38;2;15;9;1
325;81.38;3;14;1;2
326;3.22;2;13;6;3
327;68.31;2;15;9;1
328;64.31;3;14;1;2
329;7.5;2;13;6;3
330;89.69;2;15;9;1
331;29.83;3;14;1;2
332;16.06;2;13;6;3
333;98.44;2;15;9;1
334;18.37;3;14;1;2
335;33.69;2;13;6;3
336;98.44;2;15;9;1
337;37.36;3;14;1;2
338;68.94;2;13;6;3
339;97.73;2;15;9;1
340;72.24;3;14;1;2
341;88.8;2;13;6;3
342;95.48;2;16;11;1
343;81.49;3;15;1;2
344;95.89;2;13;8;3
345;90.95;3;16;11;1
346;63.0;3;15;1;2
347;91.79;2;14;8;3
348;82.16;3;16;11;1
349;48.88;3;15;1;2
350;83.59;2;14;8;3
351;64.99;3;16;11;1
352;21.82;3;15;1;2
353;67.31;2;14;8;3
354;31.22;3;16;11;1
355;4.84;3;15;1;2
356;35.82;2;14;8;3
357;8.89;3;16;11;1
358;10.57;3;15;1;2
359;14.2;2;14;8;3
360;18.73;3;16;11;1
361;21.71;3;15;1;2
362;10.97;2;14;8;3
363;39.03;3;16;11;1
364;44.08;3;15;1;2
365;23.0;2;14;8;3
366;63.26;3;16;11;1
367;75.54;3;15;7;2
368;46.56;2;14;8;3
369;83.67;3;16;11;1
370;83.68;3;15;7;2
371;86.69;2;14;8;3
372;89.19;3;16;11;1
373;91.56;3;15;7;2
374;97.7;2;14;8;3
375;85.54;3;16;11;1
376;83.21;3;15;7;2
377;95.85;2;14;8;3
378;78.08;3;17;10;1
379;66.43;3;16;7;2
380;91.7;3;15;10;3
381;56.19;3;17;10;1
382;47.53;3;16;7;2
383;83.63;3;15;10;3
384;36.65;3;17;10;1
385;28.8;3;16;7;2
386;67.73;3;15;10;3
387;21.68;3;17;10;1
388;20.11;3;16;7;2
389;35.96;3;15;10;3
390;10.73;3;17;10;1
391;6.33;3;16;7;2
392;19.82;3;15;10;3
393;13.03;3;17;10;1
394;8.16;3;16;7;2
395;12.38;3;15;10;3
396;27.61;3;17;10;1
397;17.88;3;16;7;2
398;26.31;3;15;10;3
399;55.46;3;17;10;1
400;36.35;3;16;7;2
401;39.58;3;15;10;3
402;73.55;3;17;10;1
403;48.08;3;16;7;2
404;49.57;3;15;10;3
405;80.32;3;17;10;1
406;63.71;3;16;7;2
407;68.33;3;15;10;3
408;93.82;3;17;10;1
409;78.94;3;16;7;2
410;79.51;3;15;10;3
411;88.0;3;17;10;1
412;83.45;3;16;7;2
413;79.73;3;16;9;3
414;76.01;3;18;11;1
415;66.91;3;17;7;2
416;60.24;3;16;9;3
417;52.02;3;18;11;1
418;53.13;3;17;7;2
419;38.87;3;16;9;3
420;21.44;3;18;11;1
421;39.78;3;17;7;2
422;31.79;3;16;9;3
423;8.77;3;18;11;1
424;23.72;3;17;7;2
425;30.67;3;16;9;3
426;7.76;3;18;11;1
427;14.91;3;17;7;2
428;28.24;3;16;9;3
429;15.75;3;18;11;1
430;16.72;3;17;7;2
431;54.02;3;16;9;3
432;32.73;3;18;11;1
433;34.0;3;17;7;2
434;58.89;3;16;9;3
435;65.91;3;18;11;1
436;50.2;3;17;7;2
437;51.3;3;16;9;3
438;85.67;3;18;11;1
439;67.44;3;17;7;2
440;35.88;3;16;9;3
441;93.14;3;18;11;1
442;82.8;3;17;9;2
443;23.11;3;16;10;3
444;86.28;3;19;9;1
445;94.1;3;18;9;2
446;31.07;3;17;10;3
447;72.65;3;19;9;1
448;88.22;3;18;9;2
449;29.0;3;17;10;3
450;45.31;3;19;9;1
451;76.46;3;18;9;2
452;24.33;3;17;10;3
453;19.8;3;19;9;1
454;55.19;3;18;9;2
455;15.85;3;17;10;3
456;6.46;3;19;9;1
457;44.34;3;18;9;2
458;15.33;3;17;10;3
459;5.96;3;19;9;1
460;30.87;3;18;9;2
461;30.04;3;17;10;3
462;12.7;3;19;9;1
463;8.93;3;18;9;2
464;28.31;3;17;10;3
465;21.3;3;19;9;1
466;18.43;3;18;9;2
467;24.85;3;17;10;3
468;43.83;3;19;9;1
469;37.75;3;18;9;2
470;51.04;3;17;10;3
471;55.9;3;19;9;1
472;59.4;3;18;9;2
473;69.79;3;17;10;3
474;79.93;3;19;9;1
475;80.69;3;18;9;2
476;79.1;3;17;10;3
477;94.22;3;19;9;1
478;85.95;3;18;10;2
479;91.84;3;17;10;3
480;95.83;3;19;9;1
481;96.21;3;18;10;2
482;83.68;3;18;11;3
483;91.67;3;20;12;1
484;92.44;3;19;10;2
485;67.81;3;18;11;3
486;83.35;3;20;12;1
487;84.88;3;19;10;2
488;51.17;3;18;11;3
489;66.84;3;20;12;1
490;69.91;3;19;10;2
491;35.89;3;18;11;3
492;39.48;3;20;12;1
493;40.53;3;19;10;2
494;17.33;3;18;11;3
495;13.69;3;20;12;1
496;24.29;3;19;10;2
497;15.76;3;18;11;3
498;2.85;3;20;12;1
499;9.15;3;19;10;2
500;32.53;3;18;11;3
501;6.39;3;20;12;1
502;19.19;3;19;10;2
503;37.09;3;18;11;3
504;13.68;3;20;12;1
505;39.6;3;19;10;2
506;39.9;3;18;11;3
507;20.58;3;20;12;1
508;71.44;3;19;10;2
509;45.49;3;18;11;3
510;34.06;3;20;12;1
511;98.44;3;19;10;2
512;55.84;3;18;11;3
513;65.35;3;20;12;1
514;98.44;3;19;10;2
515;63.14;3;18;11;3
516;80.99;3;20;12;1
517;97.69;3;19;10;2
518;61.28;3;18;12;3
519;97.34;3;20;12;1
520;95.39;3;19;10;2
521;55.89;3;19;12;3
522;95.22;3;20;12;1
523;90.77;3;19;10;2
524;44.95;3;19;12;3
525;90.58;4;21;13;1
526;81.55;3;19;10;2
527;24.86;3;19;12;3
528;81.17;4;21;13;1
529;63.09;4;20;10;2
530;17.8;3;19;12;3
531;62.51;4;21;13;1
532;26.2;4;20;10;2
