id;mtotal;vms;clock;lastclocktime;stage
1;0.0;1;0;0;2
2;0.0;1;0;0;3
3;0.0;1;2;1;1
4;0.0;1;1;0;2
5;0.0;1;0;0;3
6;0.0;1;3;1;1
7;0.0;1;1;0;2
8;0.0;1;0;0;3
9;0.0;1;3;1;1
10;0.0;1;1;0;2
11;0.0;1;0;0;3
12;0.0;1;3;1;1
13;0.0;1;2;1;2
14;0.0;1;1;0;3
15;0.0;1;3;1;1
16;0.0;1;2;1;2
17;0.0;1;1;0;3
18;70.73;1;4;2;1
19;0.0;1;3;1;2
20;0.0;1;2;1;3
21;58.03;1;4;2;1
22;39.89;1;3;1;2
23;0.0;1;2;1;3
24;64.63;1;4;2;1
25;70.34;1;3;1;2
26;0.0;1;2;0;3
27;86.53;1;5;2;1
28;42.25;1;3;1;2
29;0.0;1;2;0;3
30;73.34;1;5;2;1
31;55.36;1;4;3;2
32;43.95;1;2;0;3
33;48.22;1;5;2;1
34;31.86;1;4;3;2
35;50.45;1;3;0;3
36;83.0;1;5;2;1
37;64.86;1;4;3;2
38;27.45;1;3;0;3
39;67.56;1;5;2;1
40;90.28;1;4;3;2
41;17.47;1;3;0;3
42;36.69;1;5;2;1
43;82.13;1;4;3;2
44;11.03;1;3;2;3
45;56.92;1;5;2;1
46;65.45;1;4;4;2
47;22.06;1;4;2;3
48;95.84;1;6;6;1
49;75.91;1;5;4;2
50;43.69;1;4;2;3
51;94.47;1;6;6;1
52;79.14;1;5;4;2
53;53.94;1;4;2;3
54;90.5;1;6;6;1
55;86.84;1;5;4;2
56;73.84;1;4;2;3
57;82.56;1;6;6;1
58;75.25;1;5;4;2
59;47.69;1;4;2;3
60;66.69;1;6;6;1
61;52.06;1;5;4;2
62;25.38;1;4;2;3
63;35.94;1;6;6;1
64;28.69;1;5;4;2
65;50.77;1;4;2;3
66;73.44;1;6;6;1
67;58.94;1;5;4;2
68;65.53;1;4;2;3
69;97.06;1;7;6;1
70;98.17;1;5;4;2
71;32.63;1;4;2;3
72;95.69;1;7;6;1
73;96.39;1;6;7;2
74;3.25;1;4;2;3
75;92.94;1;7;6;1
76;94.34;1;6;7;2
77;6.5;1;5;2;3
78;87.44;1;7;6;1
79;90.25;1;6;7;2
80;13.58;1;5;2;3
81;76.44;1;7;6;1
82;82.06;1;6;7;2
83;27.72;1;5;2;3
84;54.44;1;7;6;1
85;65.69;1;6;7;2
86;57.0;1;5;2;3
87;98.44;1;7;6;1
88;49.94;1;6;7;2
89;15.56;1;5;2;3
90;98.44;1;7;6;1
91;98.44;1;6;7;2
92;32.69;1;5;2;3
93;98.44;1;7;6;1
94;98.44;1;6;7;2
95;65.58;1;5;5;3
96;98.44;1;7;6;1
97;97.81;1;6;7;2
98;94.17;1;6;5;3
99;98.44;1;8;9;1
100;95.63;1;6;7;2
101;88.36;1;6;5;3
102;96.92;1;8;9;1
103;91.27;1;7;7;2
104;77.83;1;6;5;3
