id;mtotal;vms;clock;lastclocktime;stage
1;0.0;1;0;0;2
2;0.0;1;0;0;3
3;0.0;1;1;0;1
4;0.0;1;0;0;2
5;0.0;1;0;0;3
6;0.0;1;2;1;1
7;0.0;1;1;0;2
8;0.0;1;0;0;3
9;0.0;1;3;1;1
10;0.0;1;1;0;2
11;0.0;1;0;0;3
12;0.0;1;3;1;1
13;0.0;1;2;2;2
14;0.0;1;0;0;3
15;0.0;1;3;1;1
16;0.0;1;2;1;2
17;0.0;1;1;0;3
18;72.69;1;3;1;1
19;0.0;1;2;1;2
20;0.0;1;1;0;3
21;46.28;1;4;2;1
22;0.0;1;3;1;2
23;0.0;1;1;0;3
24;69.17;1;4;2;1
25;74.94;1;3;1;2
26;0.0;1;2;2;3
27;78.91;1;4;2;1
28;51.44;1;3;1;2
29;0.0;1;2;1;3
30;89.23;1;5;2;1
31;58.44;1;3;1;2
32;0.0;1;2;1;3
33;78.7;1;5;2;1
34;49.73;1;4;4;2
35;63.41;1;3;1;3
36;58.97;1;5;2;1
37;32.48;1;4;4;2
38;27.23;1;3;1;3
39;61.5;1;5;2;1
40;66.53;1;4;4;2
41;31.03;1;3;1;3
42;85.56;1;5;2;1
43;90.63;1;4;4;2
44;38.36;1;3;1;3
45;72.69;1;5;2;1
46;81.78;1;4;3;2
47;12.72;1;3;2;3
48;55.3;1;5;2;1
49;63.56;1;4;3;2
50;24.92;1;4;2;3
51;96.17;1;6;6;1
52;72.13;1;5;3;2
53;51.41;1;4;2;3
54;93.91;1;6;6;1
55;80.81;1;5;3;2
56;77.03;1;4;2;3
57;89.38;1;6;6;1
58;63.19;1;5;3;2
59;54.06;1;4;2;3
60;80.31;1;6;6;1
61;27.94;1;5;3;2
62;25.14;1;4;2;3
63;62.19;1;6;6;1
64;23.44;1;5;3;2
65;50.3;1;4;2;3
66;66.94;1;6;6;1
67;48.44;1;5;3;2
68;69.61;1;4;2;3
69;97.5;1;7;5;1
70;98.44;1;5;3;2
71;39.22;1;4;2;3
72;95.97;1;7;5;1
73;98.44;1;5;3;2
74;0.44;1;4;2;3
75;93.5;1;7;5;1
76;97.03;1;6;7;2
77;0.89;1;5;2;3
78;88.56;1;7;5;1
79;95.23;1;6;7;2
80;1.42;1;5;2;3
81;78.69;1;7;5;1
82;92.03;1;6;7;2
83;3.41;1;5;2;3
84;58.94;1;7;5;1
85;85.63;1;6;7;2
86;7.38;1;5;2;3
87;79.44;1;7;5;1
88;72.81;1;6;7;2
89;16.31;1;5;2;3
90;98.44;1;7;5;1
91;47.19;1;6;7;2
92;34.17;1;5;2;3
93;98.44;1;7;5;1
94;85.94;1;6;7;2
95;67.36;1;5;5;3
96;97.11;1;8;9;1
97;98.44;1;6;7;2
98;93.72;1;5;5;3
99;95.16;1;8;9;1
100;97.34;1;7;7;2
101;87.45;1;6;5;3
102;91.88;1;8;9;1
103;94.88;1;7;7;2
104;76.02;1;6;5;3
